name,employer,salary_from,salary_to,salary_from_rub,salary_to_rub,currency,experience,schedule,url
Senior ML Engineer / Data Scientist,Про.Потолок,250000.0,350000.0,250000.0,350000.0,RUR,От 3 до 6 лет,Удаленная работа,https://hh.ru/vacancy/127732252
Ведущий специалист отдела математического моделирования/Data Scientist,Eqvanta,,,,,,От 1 года до 3 лет,Удаленная работа,https://hh.ru/vacancy/127757227
"Data Scientist, Диалоговый ИИ и ML сервисы",Ozon,,,,,,От 3 до 6 лет,Удаленная работа,https://hh.ru/vacancy/127773822
Руководитель направления по исследованию данных (портал gosuslugi.ru),РТЛабс,,,,,,От 3 до 6 лет,Удаленная работа,https://hh.ru/vacancy/127116597
Middle Data Scientist [CICADA8],МТС,,,,,,От 3 до 6 лет,Полный день,https://hh.ru/vacancy/127060216
Senior Data scientist (Дирекция риск-моделирования),БАНК УРАЛСИБ,,,,,,От 3 до 6 лет,Полный день,https://hh.ru/vacancy/125904994
AI engineer,СБЕР,,,,,,От 1 года до 3 лет,Полный день,https://hh.ru/vacancy/127955936
DevOps-инженер.,EFIX GROUP,,,,,,От 3 до 6 лет,Удаленная работа,https://hh.ru/vacancy/126971833
Data Scientist (Big Data),Международная iGaming платформа,,,,,,От 3 до 6 лет,Удаленная работа,https://hh.ru/vacancy/127804081
Data Scientist,Туту,,,,,,От 1 года до 3 лет,Удаленная работа,https://hh.ru/vacancy/127130623
DevOps-инженер,EFIX GROUP,,,,,,От 3 до 6 лет,Удаленная работа,https://hh.ru/vacancy/127945654
Математик-аналитик / Data Scientist,ИИ Технологии,120000.0,180000.0,120000.0,180000.0,RUR,От 1 года до 3 лет,Полный день,https://hh.ru/vacancy/127375872
Data Engineer (Hadoop),МегаФон,,,,,,От 3 до 6 лет,Удаленная работа,https://hh.ru/vacancy/127159756
Data Science кредитный скоринг,Манюхина Анна,250000.0,,250000.0,,RUR,От 3 до 6 лет,Удаленная работа,https://hh.ru/vacancy/126937530
ИТ-лидер в Интеллектуальный анализ документов,Т1,,,,,,От 3 до 6 лет,Полный день,https://hh.ru/vacancy/127210539
Data scientist middle на проект AutoML,Альфа-Банк,,,,,,От 1 года до 3 лет,Полный день,https://hh.ru/vacancy/127653096
